reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.010,235.397916
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.025,306.535465
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.050,331.443702
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.100,353.560365
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.150,358.836275
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.200,362.759677
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.250,365.144692
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.300,368.950693
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.350,372.436708
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.400,375.010338
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.450,378.252863
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.500,381.625538
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.550,385.757718
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.600,392.158742
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.650,396.686961
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.700,401.413067
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.750,408.585620
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.800,418.483213
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.850,427.543563
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.900,444.293223
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.950,471.939925
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.975,482.971078
2024-02-10,wk inc covid hosp,-1,2024-02-03,01,quantile,0.990,515.682115
2024-02-10,wk covid hosp rate change,-1,2024-02-03,01,pmf,stable,0.824000
2024-02-10,wk covid hosp rate change,-1,2024-02-03,01,pmf,increase,0.072000
2024-02-10,wk covid hosp rate change,-1,2024-02-03,01,pmf,large_increase,0.014000
2024-02-10,wk covid hosp rate change,-1,2024-02-03,01,pmf,decrease,0.068000
2024-02-10,wk covid hosp rate change,-1,2024-02-03,01,pmf,large_decrease,0.022000
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.010,175.172720
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.025,248.437865
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.050,294.587262
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.100,318.143929
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.150,326.256289
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.200,331.689157
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.250,338.179783
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.300,342.898361
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.350,347.626231
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.400,352.249174
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.450,358.216546
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.500,364.122712
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.550,369.865275
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.600,375.554151
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.650,380.646006
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.700,387.061266
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.750,394.335675
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.800,405.699896
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.850,422.488536
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.900,441.523116
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.950,492.278324
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.975,558.290248
2024-02-10,wk inc covid hosp,0,2024-02-10,01,quantile,0.990,578.792411
2024-02-10,wk covid hosp rate change,0,2024-02-10,01,pmf,stable,0.530000
2024-02-10,wk covid hosp rate change,0,2024-02-10,01,pmf,increase,0.060000
2024-02-10,wk covid hosp rate change,0,2024-02-10,01,pmf,large_increase,0.028000
2024-02-10,wk covid hosp rate change,0,2024-02-10,01,pmf,decrease,0.356000
2024-02-10,wk covid hosp rate change,0,2024-02-10,01,pmf,large_decrease,0.026000
2024-02-10,wk inc covid hosp,1,2024-02-17,01,quantile,0.010,129.903846
2024-02-10,wk inc covid hosp,1,2024-02-17,01,quantile,0.025,191.592029
2024-02-10,wk inc covid hosp,1,2024-02-17,01,quantile,0.050,255.293725
2024-02-10,wk inc covid hosp,1,2024-02-17,01,quantile,0.100,280.472607
