reference_date,target,age,horizon,target_end_date,location,output_type,output_type_id,value
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.010,11.984167
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.025,12.936333
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.050,15.760000
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.100,20.110417
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.150,23.623583
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.200,27.202417
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.250,29.418667
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.300,32.636333
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.350,35.148083
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.400,38.234417
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.450,40.696917
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.500,44.522000
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.550,49.118667
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.600,52.434833
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.650,56.933000
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.700,62.925083
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.750,71.199083
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.800,80.490917
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.850,90.078250
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.900,105.887500
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.950,124.471167
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.975,145.320333
2024-02-17,wk inc covid hosp,<1,0,2024-02-10,CA,quantile,0.990,182.930917
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.010,8.447500
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.025,9.617750
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.050,11.628875
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.100,15.802250
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.150,17.677750
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.200,20.983125
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.250,23.377875
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.300,24.245875
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.350,28.175125
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.400,29.620500
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.450,32.476375
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.500,36.068500
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.550,39.610250
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.600,41.784125
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.650,45.798625
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.700,49.580625
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.750,55.455125
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.800,60.911125
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.850,67.882250
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.900,82.359250
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.950,101.025125
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.975,119.706500
2024-02-17,wk inc covid hosp,1-4,0,2024-02-10,CA,quantile,0.990,142.383000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.010,21.880000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.025,24.270000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.050,29.701500
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.100,38.722000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.150,43.224000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.200,49.291000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.250,53.636500
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.300,59.284000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.350,63.294000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.400,68.683000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.450,74.425500
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.500,80.096500
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.550,87.883000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.600,94.532500
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.650,99.414500
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.700,111.279500
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.750,122.230000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.800,139.272000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.850,147.699000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.900,176.274000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.950,221.371500
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.975,255.161000
2024-02-17,wk inc covid hosp,5-64,0,2024-02-10,CA,quantile,0.990,317.842500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.010,5.674500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.025,7.971000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.050,9.039000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.100,11.143500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.150,12.583500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.200,14.655000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.250,16.738500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.300,18.144000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.350,19.621500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.400,20.911500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.450,22.713000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.500,25.125000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.550,27.012000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.600,28.590000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.650,31.384500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.700,34.306500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.750,37.686000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.800,42.594000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.850,48.274500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.900,53.479500
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.950,67.317000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.975,81.087000
2024-02-17,wk inc covid hosp,65+,0,2024-02-10,CA,quantile,0.990,86.784000
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.010,48.656500
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.025,55.842417
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.050,65.652333
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.100,86.971917
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.150,96.173208
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.200,110.761833
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.250,124.460958
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.300,136.060625
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.350,143.995250
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.400,159.058375
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.450,169.621750
2024-02-17,wk inc covid hosp,0-130,0,2024-02-10,CA,quantile,0.500,187.722125
