reference_date,target,age,horizon,target_end_date,location,output_type,output_type_id,value
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.010,30.781250
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.025,34.212333
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.050,39.695500
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.100,41.846083
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.150,45.030917
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.200,48.412750
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.250,51.302083
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.300,53.781000
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.350,56.801667
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.400,61.168500
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.450,65.436833
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.500,70.214083
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.550,72.939250
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.600,78.750750
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.650,83.774250
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.700,87.615750
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.750,93.427250
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.800,100.125250
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.850,109.597667
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.900,122.960833
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.950,141.150500
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.975,168.697667
2024-02-03,wk inc covid hosp,<1,0,2024-01-27,CA,quantile,0.990,185.885917
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.010,20.959875
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.025,22.544750
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.050,24.555875
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.100,29.678625
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.150,30.903125
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.200,33.433500
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.250,35.444625
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.300,37.734750
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.350,39.955125
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.400,42.869125
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.450,46.356625
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.500,48.937375
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.550,51.518125
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.600,54.846750
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.650,57.636750
2024-02-03,wk inc covid hosp,1-4,0,2024-01-27,CA,quantile,0.700,63.309750
